timestamp,route_id,hour,day_of_week,peak_period,historical_demand,current_occupancy,previous_interval_demand,available_buses,passenger_demand
2026-01-02 00:00:00,A,0,2,0,620,10.0,657.45,5,657.77
2026-01-02 00:00:00,B,0,2,0,467,10.0,566.11,6,461.75
2026-01-02 00:00:00,C,0,2,0,606,10.0,596.51,4,603.57
2026-01-02 00:00:00,D,0,2,0,458,10.0,655.76,4,573.04
2026-01-02 01:00:00,A,1,2,0,669,10.16,635.12,5,728.13
2026-01-02 01:00:00,B,1,2,0,535,10.0,515.33,6,558.22
2026-01-02 01:00:00,C,1,2,0,476,10.0,602.55,4,646.34
2026-01-02 01:00:00,D,1,2,0,663,10.03,693.86,4,705.52
2026-01-02 02:00:00,A,2,2,0,611,10.0,771.01,5,776.52
2026-01-02 02:00:00,B,2,2,0,539,10.0,583.59,6,510.1
2026-01-02 02:00:00,C,2,2,0,582,14.56,806.36,4,624.1
2026-01-02 02:00:00,D,2,2,0,564,10.0,782.74,4,667.65
2026-01-02 03:00:00,A,3,2,0,602,17.13,759.6,5,831.04
2026-01-02 03:00:00,B,3,2,0,599,10.0,662.6,6,519.4
2026-01-02 03:00:00,C,3,2,0,572,10.0,795.2,4,711.14
2026-01-02 03:00:00,D,3,2,0,721,10.0,754.08,4,632.4
2026-01-02 04:00:00,A,4,2,0,719,10.0,918.93,5,872.17
2026-01-02 04:00:00,B,4,2,0,548,10.0,646.41,6,652.57
2026-01-02 04:00:00,C,4,2,0,644,10.0,745.61,4,718.0
2026-01-02 04:00:00,D,4,2,0,761,10.0,841.08,4,723.99
2026-01-02 05:00:00,A,5,2,0,699,14.72,901.63,5,885.65
2026-01-02 05:00:00,B,5,2,0,576,10.0,588.89,6,578.37
2026-01-02 05:00:00,C,5,2,0,777,10.0,840.84,4,803.55
2026-01-02 05:00:00,D,5,2,0,743,14.36,790.8,4,746.23
2026-01-02 06:00:00,A,6,2,0,949,10.0,813.04,5,814.08
2026-01-02 06:00:00,B,6,2,0,695,10.12,730.9,6,621.38
2026-01-02 06:00:00,C,6,2,0,667,10.0,908.76,4,747.59
2026-01-02 06:00:00,D,6,2,0,634,10.0,939.66,4,810.61
2026-01-02 07:00:00,A,7,2,1,1287,15.43,1351.45,5,1308.81
2026-01-02 07:00:00,B,7,2,1,868,10.0,1031.56,6,1016.07
2026-01-02 07:00:00,C,7,2,1,992,28.45,1248.88,4,1171.65
2026-01-02 07:00:00,D,7,2,1,868,11.67,1163.17,4,1231.72
2026-01-02 08:00:00,A,8,2,1,1278,27.48,1316.0,5,1271.44
2026-01-02 08:00:00,B,8,2,1,659,10.0,888.4,6,1008.36
2026-01-02 08:00:00,C,8,2,1,838,10.0,1149.8,4,1199.89
2026-01-02 08:00:00,D,8,2,1,1000,32.73,1128.44,4,1181.54
2026-01-02 09:00:00,A,9,2,1,1057,10.0,1126.6,5,1207.45
2026-01-02 09:00:00,B,9,2,1,881,10.0,752.11,6,986.69
2026-01-02 09:00:00,C,9,2,1,1010,10.0,1121.25,4,1059.63
2026-01-02 09:00:00,D,9,2,1,790,10.0,1158.12,4,1119.05
2026-01-02 10:00:00,A,10,2,0,707,10.0,734.25,5,705.37
2026-01-02 10:00:00,B,10,2,0,471,30.1,651.4,6,584.93
2026-01-02 10:00:00,C,10,2,0,568,16.82,678.03,4,669.75
2026-01-02 10:00:00,D,10,2,0,598,10.0,634.32,4,641.93
2026-01-02 11:00:00,A,11,2,0,731,10.0,834.64,5,759.66
2026-01-02 11:00:00,B,11,2,0,513,10.0,544.27,6,561.98
2026-01-02 11:00:00,C,11,2,0,629,10.0,641.55,4,641.68
2026-01-02 11:00:00,D,11,2,0,483,10.0,747.96,4,547.58
2026-01-02 12:00:00,A,12,2,0,599,25.88,595.08,5,606.76
2026-01-02 12:00:00,B,12,2,0,497,10.0,459.93,6,484.95
2026-01-02 12:00:00,C,12,2,0,468,10.0,536.01,4,579.19
2026-01-02 12:00:00,D,12,2,0,512,10.0,627.72,4,459.74
2026-01-02 13:00:00,A,13,2,0,577,10.0,617.24,5,519.88
2026-01-02 13:00:00,B,13,2,0,324,14.4,473.64,6,410.17
2026-01-02 13:00:00,C,13,2,0,466,10.08,525.41,4,490.87
2026-01-02 13:00:00,D,13,2,0,531,10.58,610.88,4,487.9
2026-01-02 14:00:00,A,14,2,0,393,10.0,546.28,5,507.15
2026-01-02 14:00:00,B,14,2,0,350,10.0,381.83,6,478.09
2026-01-02 14:00:00,C,14,2,0,462,10.0,533.1,4,385.35
2026-01-02 14:00:00,D,14,2,0,454,10.0,414.31,4,408.79
2026-01-02 15:00:00,A,15,2,0,472,10.0,485.89,5,399.7
2026-01-02 15:00:00,B,15,2,0,320,29.26,341.54,6,287.56
2026-01-02 15:00:00,C,15,2,0,337,10.0,428.29,4,500.29
2026-01-02 15:00:00,D,15,2,0,306,10.0,469.42,4,526.6
2026-01-02 16:00:00,A,16,2,1,496,10.0,549.56,5,765.56
2026-01-02 16:00:00,B,16,2,1,359,10.0,516.1,6,551.78
2026-01-02 16:00:00,C,16,2,1,402,10.0,491.11,4,621.5
2026-01-02 16:00:00,D,16,2,1,505,10.0,469.55,4,642.33
2026-01-02 17:00:00,A,17,2,1,573,10.0,548.58,5,654.84
2026-01-02 17:00:00,B,17,2,1,332,10.0,362.8,6,502.03
2026-01-02 17:00:00,C,17,2,1,432,22.97,512.69,4,565.95
2026-01-02 17:00:00,D,17,2,1,369,10.0,448.95,4,643.46
2026-01-02 18:00:00,A,18,2,1,565,10.18,495.76,5,682.13
2026-01-02 18:00:00,B,18,2,1,378,10.0,457.64,6,509.47
2026-01-02 18:00:00,C,18,2,1,446,10.0,454.04,4,578.06
2026-01-02 18:00:00,D,18,2,1,457,21.57,498.28,4,568.54
2026-01-02 19:00:00,A,19,2,1,486,10.0,514.74,5,573.4
2026-01-02 19:00:00,B,19,2,1,343,24.03,407.75,6,545.28
2026-01-02 19:00:00,C,19,2,1,531,10.0,558.94,4,585.24
2026-01-02 19:00:00,D,19,2,1,450,10.99,512.64,4,642.84
2026-01-02 20:00:00,A,20,2,0,382,24.33,460.21,5,445.1
2026-01-02 20:00:00,B,20,2,0,245,10.0,298.29,6,342.57
2026-01-02 20:00:00,C,20,2,0,356,12.46,442.81,4,371.79
2026-01-02 20:00:00,D,20,2,0,389,12.02,416.34,4,393.67
2026-01-02 21:00:00,A,21,2,0,429,10.0,552.94,5,424.18
2026-01-02 21:00:00,B,21,2,0,274,10.38,385.33,6,281.41
2026-01-02 21:00:00,C,21,2,0,383,10.0,377.48,4,418.52
2026-01-02 21:00:00,D,21,2,0,403,10.6,420.85,4,409.57
2026-01-02 22:00:00,A,22,2,0,537,10.0,535.27,5,406.35
2026-01-02 22:00:00,B,22,2,0,358,10.13,343.27,6,431.22
2026-01-02 22:00:00,C,22,2,0,391,13.92,528.36,4,487.82
2026-01-02 22:00:00,D,22,2,0,387,10.0,515.3,4,453.77
2026-01-02 23:00:00,A,23,2,0,603,10.0,534.32,5,576.65
2026-01-02 23:00:00,B,23,2,0,386,10.0,422.76,6,475.46
2026-01-02 23:00:00,C,23,2,0,446,10.0,593.13,4,543.61
2026-01-02 23:00:00,D,23,2,0,392,20.07,569.68,4,532.73
2026-01-03 00:00:00,A,0,3,0,596,33.13,700.74,5,533.84
2026-01-03 00:00:00,B,0,3,0,474,10.0,412.36,6,514.93
2026-01-03 00:00:00,C,0,3,0,483,10.0,598.12,4,528.26
2026-01-03 00:00:00,D,0,3,0,607,10.89,647.75,4,488.43
2026-01-03 01:00:00,A,1,3,0,542,10.0,688.17,5,709.27
2026-01-03 01:00:00,B,1,3,0,383,10.0,468.82,6,513.52
2026-01-03 01:00:00,C,1,3,0,510,10.0,591.31,4,631.24
2026-01-03 01:00:00,D,1,3,0,458,10.0,688.15,4,597.18
2026-01-03 02:00:00,A,2,3,0,624,16.19,832.72,5,690.46
2026-01-03 02:00:00,B,2,3,0,588,10.0,503.44,6,580.92
2026-01-03 02:00:00,C,2,3,0,517,10.0,774.49,4,736.55
2026-01-03 02:00:00,D,2,3,0,670,10.0,625.12,4,657.99
2026-01-03 03:00:00,A,3,3,0,806,10.0,958.91,5,773.75
2026-01-03 03:00:00,B,3,3,0,639,10.0,581.91,6,621.14
2026-01-03 03:00:00,C,3,3,0,553,10.0,664.97,4,676.7
2026-01-03 03:00:00,D,3,3,0,554,10.0,813.18,4,749.9
2026-01-03 04:00:00,A,4,3,0,861,10.0,1044.33,5,810.72
2026-01-03 04:00:00,B,4,3,0,664,10.0,675.57,6,630.25
2026-01-03 04:00:00,C,4,3,0,742,10.0,837.06,4,807.4
2026-01-03 04:00:00,D,4,3,0,663,19.57,707.51,4,737.32
2026-01-03 05:00:00,A,5,3,0,733,30.62,814.68,5,868.22
2026-01-03 05:00:00,B,5,3,0,615,18.18,663.65,6,647.17
2026-01-03 05:00:00,C,5,3,0,747,10.28,815.59,4,710.38
2026-01-03 05:00:00,D,5,3,0,701,10.0,698.41,4,752.08
2026-01-03 06:00:00,A,6,3,0,870,20.55,961.27,5,889.25
